duration,language,domain,text,audio_path
9.7929931973,Nigerian Pidgin,intron,Fatty liver and cyst for the liver no fit cause this kind symptoms so nothing to worry about them for now for the problems wey you dey face,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Nigerian Pidgin/b94bfcb0-8075-485b-bbde-79811679c5eb.wav
22.1249886621,Nigerian Pidgin,intron,I suggest say make you no worry much Plenty researches and researchers confirm say only medicines no fit cure mental disorders Lifestyle changes change in thinking pattern Relaxation etc Also dey important as medicines,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Nigerian Pidgin/c9d62ce7-4486-4fd6-961f-e130c0f085d3.wav
10.1909977324,Nigerian Pidgin,intron,Pain fit spread go your right upper back or shoulder blade area Sometimes the pain fit dey worse E fit dey steady or e fit come and go,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Nigerian Pidgin/59806e08-0ce3-4596-8336-d9ca91255a6c.wav
8.9949886621,Nigerian Pidgin,intron,I get 9 years old pikin wey dey always get stomach pain since e small as e dey grow one leg and hand dey become slim,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Nigerian Pidgin/e61e35fc-ae4e-4375-8a52-16d043f33090.wav
14.906984127,Nigerian Pidgin,intron,Sometimes when pain too much e go push anesthesia injection I go come dey very sick I no know wetin I go do Abeg give me advice,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Nigerian Pidgin/f3eb6ed8-d302-415b-b464-5e4276f96c06.wav
15.59,Nigerian Pidgin,intron,Gum wey dey bleed no go stop if you take amoxicillin Na to scrape mouth and take tetracycline antibiotics go help am You gats go see Dentist make e check am well well Make you take doxy 1 once daily for three days,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Nigerian Pidgin/2dc4c222-d926-45b1-957f-0294cbf9379f.wav
18.6709977324,Nigerian Pidgin,intron,Her condition dey stable for now BP dey within 140 80 No blood sugar She dey feel tired all the time Appetite dey normal Abeg suggest for me whether the treatment wey dey go on go continue,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Nigerian Pidgin/b981ec26-235a-4762-8edc-a4162b6f3bdd.wav
11.8489795918,Nigerian Pidgin,intron,I get one daughter she be 8 years old she dey active and healthy but she dey get frequent belle pain wey dey happen mostly before or when she wan shit,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Nigerian Pidgin/380ffe98-4da5-474b-a5cb-571324a6b720.wav
13.5929931973,Nigerian Pidgin,intron,My throat dey feel very tight and scratchy like say I get jowls This thing don dey happen for several months now I be 32 year old white woman and I no dey smoke,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Nigerian Pidgin/bda7351e-0c24-4eb6-9782-e1115ab64cce.wav
10.04,Nigerian Pidgin,intron,E no dey change or increase when I stretch or do other movement and I sure say no be muscle strain E dey feel like say e dey deeper inside,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Nigerian Pidgin/a29033fd-920b-47f3-ae46-634505ad5112.wav
16.98,Amharic,African Next Voices,ዋው ሲያምር! የተረጋጋና ዘመናዊ የስብሰባ ቦታ ነው። የተከበሩ ሰዎች በንግግርና በውይይት ተመስጠዋል። ሥራቸው ላይ ማተኮራቸው አስደናቂ ነው። ጥሩ መግባባትና ትብብር ፍቅርን ይፈጥራል። በእውነትም ሲያስደስት!,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Amharic/bb7f68f3-4c68-445e-91f7-85f7ac8b2bf6.wav
17.04,Amharic,African Next Voices,ዋው! ሲያስደስት! እነዚህ ልብስ መስቀያዎች ሲያምሩ! ንፁህና ስርዓት ባለው መንገድ ተሰቅለዋል። ለስላሳው ሸካራነት ደግሞ ልብሶችን ይጠብቃል። ሲያስደምም! የቤት እቃዎቼን ለማደራጀት እንዴት ያጓጓሉ! ሲያስደስት! ምርጥ ናቸው!,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Amharic/739cf4b9-d980-41ca-9cf4-50eedbc07af4.wav
16.68,Amharic,African Next Voices,ሲመች! ገበሬው በጽናት በሬዎችን እየነዳ መሬት ያርሳል። ጠንክሮ የሚሠራበት ሁኔታው በግልጽ ይደንቃል ። ለምርጥ ምርት የሚደረግ ትግል ። ትጋትና ጽናት ይንጸባረቃል። ከበስተጀርባ አረንጓዴ ሜዳዎች ውበት ጨምረዋል። ለበረከት ተስፋ!,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Amharic/c16d8bf7-c543-48b9-af2f-168413a91aee.wav
18.48,Amharic,African Next Voices,ጥንድ ወላጆች በብሩህ ቀን ሁለት ትናንሽ ልጆቻቸውን አቅፈው ፈገግ ይላሉ። ሁሉም ነጭና ባህላዊ ልብሶችን ለብሰዋል፤ አባቱ ጥቁር ፀጉርና ሰማያዊ መነፅር አድርጓል፤ እናትየው ደግሞ በጭንቅላቷ ላይ ነጭ ሻሽ ጠምጥማለች።,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Amharic/5d7d102e-28ba-42e2-a968-d6f6b8819614.wav
15.24,Amharic,African Next Voices,ወንዶችና ሴቶች ባህላዊ ልብሶች ለብሰው ሙዚቃ እየተጫወቱ ይጨፍራሉ። ሴቶቹ በነጭ ቀሚሶች ተንበርክከው ይጨፍራሉ። ወንዶቹ ነጭና አረንጓዴ ልብስ ለብሰው ይዘምራሉ። በስተጀርባ ሙዚቀኞች አሉ። እነዚህ ተጨፋሪዎች የትኛውን የባህል ጭፈራ ይጨፍራሉ?,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Amharic/ff6c9d50-b8d3-4d18-ac52-c6beb6fb4051.wav
18.96,Amharic,African Next Voices,አይሲቲ ትመህርቶች ውስጥ ትልቁ ትኩረት የሚሰጠው የትምህርት መስክ አለይ ይህም ኢንተርኔት ፕሮግራሚንግ ነው የዚ ኬት ነrቭ ፕሮግራሚ እንግዲህ ዓላማው እንዴት ኢንተርኔቶች እንደሚዘረጉ እንዴት እንደሚሠሩ የምንማልበት የትምህርት መስክ ነው ሴስኮ ደግሞ ለዚክ ምስራ ነው።,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Amharic/2aa213d0-25d8-43ae-af6b-1e816df28d45.wav
17.04,Amharic,African Next Voices,ሰውዬው ጨለማ ሰማያዊ ልብስ ፣ ነጭ ሸሚዝ እና ቀይ ጥለት ያለው ክራባት ለብሷል። በቢሮ ወንበር ላይ ተቀምጦ ከጠረጴዛ ጀርባ ላይ ሲሆን፣ ሰዓት እና ቀለበት ያደረገበት እጆቹ በጠረጴዛው ላይ ተቀምጠዋል።ይህ መልክ የሥራ አስኪያጅን ወይም ባለሥልጣን ነው።,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Amharic/841e9c1e-afe9-4e8e-9500-e216a5dbcdd3.wav
16.14,Amharic,African Next Voices,አንዱ የኢሌክትሮኒክስ አገልግሎት የሆኑት የመንግስት መስራቤቶች ውስጥ የሚገኙ የሁልና ማስረጃ እንዲሁም የተለያዩ የመንግሥት ቢሮች ፍርድ ቤት በኢሌክትሮኒክስ አገልግሎት እያገለገሉ ሲሆን በቀል አሉ በኮምፒውቴር እንድንድንጠቀምን ረድተውናል።,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Amharic/90ab0578-b9f0-416f-82b3-a3ec208342cf.wav
15.18,Amharic,African Next Voices,ጥቁር የኤፕሰን ኤክስፒ-4105 ባለብዙ አገልግሎት አታሚ ማሽን አለ። የመቃኛ ሽፋኑ ክፍት ሲሆን የታተመ ባለቀለም የሂሳብ ስራ ወረቀት ከፊት በኩል ወጥቷል። ,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Amharic/0f04a120-4c97-4b39-bf64-58da845aa941.wav
15.12,Amharic,African Next Voices,ሻይ ቅጠል ከእፅዋት ቅጠሎች እና ፍሬዎች የሚዘጋጅ ለሻይ ማጣፈጫነት የሚያገለግ እና አነቃቂ ንጥረነገሮችን የያዘ ዱቄት ነው። ሻይ ቅጠል ውሃው ከፈላ በኋላ ወይንም ከመፍላቱ በፊት መጨመር ይቻላል።,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Amharic/9514c5b2-b289-4a43-998e-ba98f0be900c.wav
11.4529931973,Xhosa,intron,Ndikhe ndirhawuzelelwe ngamasende (hayi incanca) kwaye xa ndikrwela kuvakala ngathi (mhlawumbi kungcono kune) i-orgasm.,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Xhosa/c408876b-887e-4290-bdfa-3472ee62edc4.wav
20.8809977324,Xhosa,intron,"Ngaphandle kwee-enzymes, ndifumana uhlaselo oluziva ngathi le nto bandixelela yona luhlaselo lwe-gallbladder. Ndiye ndenziwa endoscopy ngugqirha we Gl wathi akaboni nto.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Xhosa/83a23913-fb27-409d-96b1-cef97b24bd97.wav
17.0049886621,Xhosa,intron,"Ndine-fluttering engaqhelekanga kwisihlunu sam se-pectoral sasekunene (kubonakala ngathi). Akukho ntlungu, ndiyasibona isifuba sam sishukuma xa isenzeka.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Xhosa/8c613665-496c-4de9-8e30-80ce7e96cd62.wav
13.1689795918,Xhosa,intron,Siyizamile engalweni yam yasekhohlo akwenzeka nto. Saphinda sazama futhi amatyeli ngamatyeli kulapho iqale khona ukuba buhlungu ingalo yam kodwa andinanxeba ngamaqhuma nje ambalwa,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Xhosa/0c4d9acd-6d1e-49b1-88bd-d19bcf7bb900.wav
16.0729931973,Xhosa,intron,"kwaye wamkelekile kuGqirha weNcokola! Ndiwufunde ngocoselelo umbuzo wakho kwaye ndabona ukuba isigulana sikwichemotherapy, siphuhlise ezinye iimpawu zengqondo kunye nokucima, kwaye ndinesiqendu esinye ngoku.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Xhosa/ee323abd-6282-4ef9-aa6e-d76f5f51bfcc.wav
13.9889795918,Xhosa,intron,"UGqirha undixelele ukuba kukho ihlwili legazi kwinkaba kwaye ngenxa yoko ukubetha kwentliziyo kwabantwana kuma ngequbuliso.Cheers, Shweta Molo, ndiyaxolisa kakhulu ngento oye wadlula kuyo.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Xhosa/7093b2e0-20ec-4290-bf9f-65e788404850.wav
12.7049886621,Xhosa,intron,Umntwana wam akafuni kulwamkela ubisi lwebhotile ngoko ke kunyanzelekile ukuba ndimvumele ukuba aqhubeke ezondla ngam. Ngaba kuyingozi emntwaneni wam?,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Xhosa/fceb5a81-059d-42b8-9629-6ada08ea107a.wav
20.146984127,Xhosa,intron,"Uhlobo lwentlungu onayo lubalulekile kwi-pancreatitis ngoko ke jonga i-amylase igazi/inqanaba lomchamo kuqala. Kwakhona, inokuba yingxaki yesisu (isilonda, iHERD) kodwa kunye nemeko eyahlukeneyo ye-pathological.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Xhosa/c7d12252-00cc-46ec-8fa4-8167d186ba7a.wav
16.186984127,Xhosa,intron,"Molo, ndilifundile ityala lakho kwaye ndicinga ukuba kufuneka ufumane i-x-ray yesandla ukuze uqiniseke ukuba kukho nakuphi na ukuphuka kweenwele okanye ukulimala kwamathambo",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Xhosa/ba995bbe-ea54-402c-b1fd-8562b8da2779.wav
23.0489795918,Xhosa,intron,"Molweni ndiphethwe sisifuba ukusukela kwiminyaka emithathu edlulileyo. Malunga neeveki ezimbini emva koko, ndaziva ndingakhululekanga, ukuphefumla nzima kunye neentlungu ezingephi esifubeni. I-ECG yayingaqhelekanga",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Xhosa/a48caa3a-41b8-4b26-8a12-043d751a619d.wav
4.256984126984127,Zulu,intron,Yebo usethathe amasonto ayisithupha ngaphandle kwezinkinga,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Zulu/75b98d3f-44f3-41c2-af1f-f967fb7c3c51.wav
9.770997732426304,Zulu,intron,sawubona nginensumpa ezincane ezi 2 njengamathegi esikhumba lapho ngihlehlisa ijwabu lami phakathi nendawo ye shaft yami,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Zulu/9c795c1c-2610-457c-be12-c46311b8de95.wav
23.68897959183673,Zulu,intron,Unethuba elikhulu lokujiya kwegazi Ngakho ke udinga igazi elincane njenge warfarin njengokwelashwa kwe prophylactic Umthamo ubaluleke kakhulu ekwelashweni kwe warfarin,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Zulu/3b89172e-8fc0-465d-ad9d-6aef4849a057.wav
14.472993197278912,Zulu,intron,Manje lapho ngishaya ikhala lami ligazi Udokotela wami ungilungiselele ukuba ngibone uchwepheshe wamaphaphu Yini esilahlekile,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Zulu/1e77b502-65fb-4104-9f88-b132e97f11cf.wav
13.37498866213152,Zulu,intron,Nginenkinga yokushaywa yisisu noma ubuhlungu obukhulu ngaphambi kokuba ngidle noma yini futhi kuba kubi kakhulu ngemva kokudla noma yini ubuhlungu buhlala amahora amaningana,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Zulu/114d7172-fba8-4ab7-9e8a-851cd57c9378.wav
5.604988662131519,Zulu,intron,Kulungile kukhona okunye okushukumisayo njengothuli noma umoya obandayo,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Zulu/ce61eb7d-4c6a-45ba-a9c5-6314747e62ac.wav
6.581995464852608,Zulu,intron,Kulungile kukhona ukuchayeka komusi uthuli izilwane noma Izilwane Ezifuywayo Ekhaya,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Zulu/071aa4d9-ab0b-4de0-8366-8a080e215aab.wav
23.46,Zulu,intron,I CT scan yesisuI Colonoscopy kanye ne Upper GI Endoscopy lolu phenyo luzofakazela noma lukhiphe izinkinga Uma uphenyo lujwayelekile thola yonke imithamo ihlelwe kabusha noma ishintshwe,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Zulu/eaac6872-7da0-4a0c-8cd8-10bbba4b6798.wav
11.375986394557824,Zulu,intron,Into yokuqala engifuna ukuthi yenziwe iphele ngawe ukuhlola inhliziyo Izinkinga zenhliziyo ziyaziwa ukuthi ziyadaleka emva kokuzikhandla,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Zulu/c40381aa-3cf9-4235-825d-caba97499be7.wav
5.332993197278912,Zulu,intron,Ingabe isandla sonke noma inxenye yesandla enzima ukudlula ezinye,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Zulu/52e55c02-2b57-4bfd-9eef-7231969cf046.wav
19.230997732426303,Kinyarwanda,intron,ikindi kandi ushobora gukoresha amavuata ya olive umasa umutwe ushobora gushyiraho amavuta yigikakarubamba kumusatsi no kumutwe warangiza ukoza umusatsi wawe nyuma yigice kisaha,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Kinyarwanda/4fc4e8eb-f93a-48c6-8740-bec0300ac578.wav
12.090997732426304,Kinyarwanda,intron,Nita kumukobwa wimyaka 17 yubukuru ufite Langerhans Cell Hystio LCH hamwe na DI Umwaka nigice wa chemo bizarangira mu Gushyingo,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Kinyarwanda/e5c52229-b9fb-4513-bf93-be5a180ad05d.wav
17.460997732426303,Kinyarwanda,intron,nizihe ngamba ngomba kwitondera ndi umugabo wimyaka 32 nkora nkumu kozi mwikorana buhanga wabigize umwuga ntago nga nywa ibisindisha,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Kinyarwanda/1a899ea2-85ab-4329-8a85-2af78d702f8d.wav
19.03897959183673,Kinyarwanda,intron,ameze neza murugo namujyanye kumuganga we amuha wellbutrin 150mg 30mg lexapro hari ikigero ndi kumvaho ikibazo cyawe nanyuze mubikuranga,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Kinyarwanda/33f27edc-528e-42b9-b56b-b0e088228f3c.wav
15.595986394557825,Kinyarwanda,intron,ariko sinigeze mbibona ho mbere iyo witegereje mumuhogo wange aho byabayeho bituje mo gake kuberako buri gihe mba mfite udusebe two mumuhogo,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Kinyarwanda/0131995d-9076-4bc9-9a72-fa3b47378d11.wav
15.966984126984126,Kinyarwanda,intron,ndakeka ko mfite varicocele kuko mugihe cyo kwikorera ikizamini nasanze imitsi yimagarura yari minini kuruta ayandi mabya,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Kinyarwanda/d58d18db-0a8d-4bf2-a1cd-dd9324420fbb.wav
23.647981859410432,Kinyarwanda,intron,Muganga akomeza avuga ko mu byumweru bibiri nzagenda noroherwa aho hazaba harageze ko ibipimo bya SGOT na SGPT bitangira kugabanuka bijyanye n imiti ndi gufata,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Kinyarwanda/289d4086-5c00-4b1c-9724-ffca0ea50177.wav
16.04,Kinyarwanda,intron,maze igihe nsanzwemo trigeminal neorologia umuganga wanjye yanshyize kuri 200mg ya carbamazepine ndacyafite ububabare kumutwe wibumoso ndetse no mumaso,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Kinyarwanda/254969f9-6ead-4c5f-9013-70849785de0d.wav
17.41299319727891,Kinyarwanda,intron,nyamuneka ntuzuyaze kubaza mugihe waba ufite ukundi gushidikanya urakoze guhitamo muganga muganira ngo akureho ugushidikanya kwawe kubibazo by'ubuzima ndakwifuriza gukira vuba muganga muganira,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Kinyarwanda/0e26fe2f-1e18-4f18-8344-d1feeda3ddb7.wav
19.56498866213152,Kinyarwanda,intron,nagize umuriro hashize imyaka ibiri nyuma yaho birangiye natangiye gukorora nyuma yo gufata imiti hashize yamezi 3 nongeye gutangira gukorora nyuma yo gukorora syrup,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Kinyarwanda/fa05ede9-cbe9-405d-9af1-ef329bff9c70.wav
15.5009977324,Igbo,intron,"If na pain you dey feel instead of tingling or heaviness for your foot, then e fit be say the wahala dey come from your back. Same thing apply to the left leg. I hope say I don answer your question.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Igbo/bd1f2304-0201-4323-9adb-da2a61761df7.wav
8.4939909297,Igbo,intron,"Mgbe ikpeazu ogboro ihe bu na elekere ato nke ehihie taa, mana oyi omuma ya na akarizi akari. Obu mkporo ya jewe na ulo ogwu?",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Igbo/8e7b1156-fa00-486d-a1c7-9a2d75c56851.wav
16.4009977324,Igbo,intron,Zere mmegharị na-akpata ihe mgbu na ọnọdụ ọjọọ n'oge ụra. Gwa ya ka ọ were ọgwụ mgbu na ọgwụ na-emefu ụgbụ ụgbụ dọkịta mkparitaụka. Ngwa mmiri na-ekpo ọkụ na mpaghara ọ metụtara nwere ike inye aka.,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Igbo/c28b0551-0e66-41b3-9d83-12d7134a59a5.wav
8.1119954649,Igbo,intron,"Ya mere, ọ bụ nnọọ ihe na-akụda mmụọ ịmara na ugbu a, iwu nwere ike ime obere ihe iji nyere ya aka.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Igbo/e6d9daa6-2400-44bd-b545-38a933479baa.wav
6.2859863946,Igbo,intron,"ruo mgbe ahụ, anyị na-akwado ka ị nọrọ naanị gị n 'ụlọ gị ma ghara ịhụ onye ọ bụla ọzọ.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Igbo/c1083a8a-10e9-4bb4-a7d1-cbc341b17f29.wav
13.1379818594,Igbo,intron,"Dọkịta na-ahụ maka ọrịa obi lere ecg m wee kwuo na ọ nwere ike bụrụ na a kọwapụtara ha n'ụzọ na-ezighi ezi, na-atụ aro na ha nwere ike ịbụ ebili mmiri. Biko mmadu o nwere ike iwepu m na nhụsianya?",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Igbo/4512b0aa-449f-407d-b3a7-2cf72ab58272.wav
18.77,Igbo,intron,"N'okwu ahụ, ị kwesịrị ịga leta dọkịta na-awa ahụ nke ọnụ na maxillofacial maka nyocha anụ ahụ nke nkwonkwo na nyocha ọzọ iji chọpụta ihe kpatara ya ma gwọọ ya.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Igbo/c8a7d3e6-1edc-493c-b006-ba3b78f02bd8.wav
15.536984127,Igbo,intron,"Nwa nwanne m dị afọ iri anọ, onye na-ese anwụrụ (afọ ise ma ọ bụ karịa) onye na-adịghị aṅụ mmanya na-egbu egbu, dịka eziokwu na-enwekarị nsogbu ibu ibu.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Igbo/1bfd01a4-eb06-490b-aa36-11c066535563.wav
18.3319954649,Igbo,intron,Ndị dọkịta achọpụtala ọkwa bilirubin dị elu (ọcha anya ya na-acha odo odo) na-ejighị n'aka ruo ugbu a ihe kpatara ya. Kedu nsogbu nwere ike ime ka bilirubin a nọgide na-ebuli elu?,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Igbo/02a0ac05-1b10-4d06-8c5a-67b6ad98fac8.wav
9.1929931973,Igbo,intron,"Ya bụ, ihe mgbu ahụ malitere n 'afọ elu m, mana ugbu a n' akụkụ aka nri nke afọ m.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Igbo/9e3e9c1d-a4c6-4ebf-a80a-7ad1ce5585d2.wav
17.838979591836736,Hausa,intron,"Idan ba a sami ciki ba, ku tafi don haihuwar da aka tsara ko kuma jefa maniyyi na cikin kwayar halitta. Ina yi muku fatan alheri da samun ciki cikin gaggawa.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Hausa/f47cc924-a383-46d8-b22d-c268bd6b26e0.wav
20.66698412698413,Hausa,intron,Inada al'ada a kowane wata kuma wannan wata kwana 3 ne kacal kuma kwanaki biyu da suka wuce na ga canje-canje a jikina.,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Hausa/2d454840-3555-444f-8322-02f90601496f.wav
13.390997732426303,Hausa,intron,Me ya sa kake rike fuskarka?,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Hausa/a1dd0650-834d-41e5-96e0-fcfa7fe5dd68.wav
16.58,Hausa,intron,Ina bibiyar zagayowar ta a hankali zuwa lokacin da mafi kyawun lokacin yin jima'i ba tare da kariya ba shine amma har yanzu ban iya daukar ciki ba. me ya kamata in yi,/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Hausa/75221bec-0cd6-419b-8832-03fd75dd17b3.wav
9.930997732426304,Hausa,intron,"I slip as I dey mop floor, and my left leg strain. I no fall or break anything, but I feel say I hear one pop for the top of the leg.",/home/gabby/gabby_data_mls/health-ai-benchmarking-intron/data/Transcription/Hausa/f297c601-ca6d-4d42-a7ca-77ca02227eb7.wav
